x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
3424.78 124.982 668.069 2 0 2 1 516913 40.1022 105800 1.95355 2.57127e+06 516913 ZonesAtSurface
3474.84 124.983 708.02 9 5 1 1 676937 43.1455 101590 1.74561 1.81633e+06 676937 ZonesAtSurface
3524.86 124.99 697.971 15 8 1 2 1.27889e+06 17.3042 79496 1.69057 2.10452e+06 1.27889e+06 ZonesAtSurface
3574.87 124.993 687.918 24 0 1 3 780378 28.697 129858 1.06809 3.28341e+06 780378 ZonesAtSurface
3624.89 124.997 677.872 0 0 1 4 1.31288e+06 18.1875 116135 1.10899 4.07415e+06 1.31288e+06 ZonesAtSurface
3674.94 124.999 717.817 0 0 1 4 1.4199e+06 32.3244 138379 1.28078 4.93496e+06 1.4199e+06 ZonesAtSurface
3725 124.993 907.736 5 6 2 1 849653 26.9134 86889.5 1.31529 2.10492e+06 849653 ZonesAtSurface
3775.01 124.993 907.734 4 7 2 1 1.10918e+06 23.2137 128625 1.67906 2.19862e+06 1.10918e+06 ZonesAtSurface
3825.03 124.997 817.765 0 0 1 2 1.23289e+06 32.2674 128282 2.08193 2.92977e+06 1.23289e+06 ZonesAtSurface
3875.1 124.999 727.821 0 0 1 3 527775 44.3566 124601 1.68435 3.13968e+06 527775 ZonesAtSurface
3925.11 124.993 737.868 8 0 2 2 736440 29.1382 50736.1 1.08872 2.39931e+06 736440 ZonesAtSurface
3975.12 124.981 747.923 0 6 2 1 889155 42.6817 89551.3 1.96235 2.22485e+06 889155 ZonesAtSurface
4025.22 124.989 657.987 0 0 1 2 613646 42.3787 77715.4 2.53708 2.83411e+06 613646 ZonesAtSurface
4075.23 124.983 668.042 0 0 2 1 1.26964e+06 43.521 74527.1 3.93048 2.57339e+06 1.26964e+06 ZonesAtSurface
4125.24 124.976 678.093 0 0 0 0 1.13445e+06 39.0827 68258.4 4.30133 1.4414e+06 1.13445e+06 ZonesAtSurface
4175.31 124.974 638.14 0 0 0 0 559479 44.1651 70575.6 1.69987 2.12249e+06 559479 ZonesAtSurface
4225.36 124.974 598.187 0 0 0 0 1.46303e+06 44.4266 147675 3.59773 2.48812e+06 1.46303e+06 ZonesAtSurface
4275.43 124.98 508.237 0 0 2 1 789429 28.9226 96186.5 1.15765 3.19145e+06 789429 ZonesAtSurface
4325.44 124.974 518.284 1 3 0 0 973642 36.6619 67183.7 1.58681 3.4666e+06 973642 ZonesAtSurface
4375.49 124.981 428.335 0 0 1 1 1.23136e+06 22.0308 75416 1.67733 2.61563e+06 1.23136e+06 ZonesAtSurface
4425.5 124.975 438.369 0 2 0 0 1.13156e+06 23.9306 116567 1.84622 2.09386e+06 1.13156e+06 ZonesAtSurface
4475.54 124.982 298.421 10 0 1 2 621806 15.5801 127917 1.07345 2.97826e+06 621806 ZonesAtSurface
4525.54 124.986 208.461 0 0 1 3 662387 31.6715 115266 1.4471 5.06114e+06 662387 ZonesAtSurface
4575.55 124.982 268.486 0 0 2 1 1.29528e+06 42.2059 125364 2.6815 3.3335e+06 1.29528e+06 ZonesAtSurface
4625.54 124.985 228.509 8 0 2 1 500054 22.0077 139645 1.16375 2.14691e+06 500054 ZonesAtSurface
4675.55 124.985 238.53 10 0 0 0 1.18317e+06 17.1783 103426 1.27039 2.67505e+06 1.18317e+06 ZonesAtSurface
4725.54 124.985 198.542 0 0 0 0 1.00165e+06 26.1503 117661 1.59752 2.28766e+06 1.00165e+06 ZonesAtSurface
4775.51 124.985 158.562 0 0 0 0 999413 27.9481 100968 1.5345 2.82964e+06 999413 ZonesAtSurface
4825.39 124.984 68.5635 9 0 1 1 867716 25.355 80663.1 1.20087 3.38215e+06 867716 ZonesAtSurface
4875.21 124.984 -21.4746 7 0 1 2 1.1948e+06 21.7071 126518 1.03508 1.06378e+07 1.1948e+06 ZonesAtSurface
4925.14 124.985 -11.4404 35 0 1 1 1.08048e+06 23.9147 115681 1.06078 1.08264e+07 1.08048e+06 ZonesAtSurface
74.9121 174.985 -32.8976 45 0 1 1 967380 31.4207 59068.7 1.12969 8.30443e+06 967380 ZonesAtSurface
