x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
3775 124.989 957.884 0 0 0 0 1.44905e+06 17.5909 128938 5.60401 757630 1.44905e+06 ZonesAtSurface
3825 124.989 917.892 0 0 0 0 792410 17.0126 89055.3 1.86719 1.24144e+06 792410 ZonesAtSurface
3875.01 124.987 877.916 0 0 0 0 1.30716e+06 40.1541 80927.9 4.23801 1.53418e+06 1.30716e+06 ZonesAtSurface
3925.04 124.984 837.952 0 0 0 0 1.24341e+06 40.1212 58727.2 4.39965 1.44686e+06 1.24341e+06 ZonesAtSurface
3975.09 124.98 797.993 0 0 0 0 696575 39.5702 137373 2.98023 1.28396e+06 696575 ZonesAtSurface
4025.14 124.977 758.037 0 0 0 0 623155 43.5513 125857 3.09598 1.25755e+06 623155 ZonesAtSurface
4075.2 124.974 718.081 0 0 0 0 873879 15.5021 70823.3 1.99703 1.31488e+06 873879 ZonesAtSurface
4125.26 124.973 678.124 0 0 0 0 542021 26.2616 83097.3 1.66923 1.53012e+06 542021 ZonesAtSurface
4175.32 124.973 638.167 0 0 0 0 1.11094e+06 18.9304 53803.6 1.88489 1.8814e+06 1.11094e+06 ZonesAtSurface
4225.37 124.973 598.208 0 0 0 0 1.48119e+06 19.4387 91024.5 2.07921 2.1697e+06 1.48119e+06 ZonesAtSurface
4275.42 124.974 558.251 0 0 0 0 761629 39.5566 105719 2.1358 2.16511e+06 761629 ZonesAtSurface
4325.47 124.974 518.294 0 0 0 0 1.35092e+06 20.8487 86671.2 2.36773 1.87489e+06 1.35092e+06 ZonesAtSurface
4375.5 124.975 478.335 0 0 0 0 1.37564e+06 18.7162 73355 2.39137 1.77586e+06 1.37564e+06 ZonesAtSurface
4425.53 124.976 438.376 0 0 0 0 868236 23.0692 105453 1.58256 1.91186e+06 868236 ZonesAtSurface
4475.56 124.978 398.414 0 0 0 0 948476 21.4379 116102 1.89029 1.70324e+06 948476 ZonesAtSurface
4525.58 124.978 358.447 0 0 0 0 1.03427e+06 15.534 134401 1.77292 1.68513e+06 1.03427e+06 ZonesAtSurface
4575.6 124.979 318.477 0 0 0 0 1.16891e+06 22.6669 143708 2.11872 1.84056e+06 1.16891e+06 ZonesAtSurface
4625.61 124.978 278.502 0 0 0 0 1.26537e+06 17.323 78621.4 2.32628 1.67698e+06 1.26537e+06 ZonesAtSurface
4675.62 124.972 238.524 0 0 0 0 1.324e+06 36.7188 76667.6 3.6015 1.64463e+06 1.324e+06 ZonesAtSurface
4725.63 124.967 198.556 0 0 0 0 1.0739e+06 27.2148 64542.9 1.60403 2.36699e+06 1.0739e+06 ZonesAtSurface
4775.63 124.967 158.579 0 0 0 0 868514 44.4428 64263.4 2.0505 2.80067e+06 868514 ZonesAtSurface
4825.57 124.971 118.613 0 0 0 0 621089 29.4498 122990 1.82424 1.39323e+06 621089 ZonesAtSurface
4875.42 124.976 78.688 0 0 0 0 100000 5 10000 3.42084 114663 100000 ZonesAtSurface
4925.21 124.983 38.6773 0 0 0 0 100000 5 10000 2.29438 335952 100000 ZonesAtSurface
74.8382 174.984 17.1491 0 0 0 0 714248 15.7354 130274 1.10651 4.16156e+06 714248 ZonesAtSurface
