x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
3825 124.991 917.764 0 0 0 0 792410 17.0126 89055.3 0 1.88796e+06 792410 ZonesAtSurface
3875.02 124.989 877.8 0 0 0 0 1.30716e+06 40.1541 80927.9 0 2.67253e+06 1.30716e+06 ZonesAtSurface
3925.04 124.985 837.848 0 3 0 0 1.24341e+06 40.1212 58727.2 0 2.09748e+06 1.24341e+06 ZonesAtSurface
3975.09 124.981 797.9 0 0 0 0 696575 39.5702 137373 0 2.08564e+06 696575 ZonesAtSurface
4025.14 124.978 757.957 0 0 0 0 623155 43.5513 125857 0 2.36788e+06 623155 ZonesAtSurface
4075.2 124.975 718.016 0 0 0 0 873879 15.5021 70823.3 0 2.2778e+06 873879 ZonesAtSurface
4125.31 124.982 628.077 0 0 1 1 763241 40.736 138065 0 2.52983e+06 763241 ZonesAtSurface
4175.33 124.972 638.134 0 0 0 0 1.11094e+06 18.9304 53803.6 0 2.84925e+06 1.11094e+06 ZonesAtSurface
4225.39 124.973 598.187 0 6 0 0 1.48119e+06 19.4387 91024.5 0 1.96613e+06 1.48119e+06 ZonesAtSurface
4275.44 124.972 558.234 0 0 0 0 761629 39.5566 105719 0 2.46372e+06 761629 ZonesAtSurface
4325.48 124.972 518.281 0 0 0 0 1.35092e+06 20.8487 86671.2 0 2.28497e+06 1.35092e+06 ZonesAtSurface
4375.51 124.972 478.325 0 5 0 0 1.37564e+06 18.7162 73355 0 1.72638e+06 1.37564e+06 ZonesAtSurface
4425.54 124.973 438.367 0 0 0 0 868236 23.0692 105453 0 2.33514e+06 868236 ZonesAtSurface
4475.56 124.975 398.405 0 0 0 0 948476 21.4379 116102 0 1.88541e+06 948476 ZonesAtSurface
4525.58 124.976 358.438 0 0 0 0 1.03427e+06 15.534 134401 0 1.83743e+06 1.03427e+06 ZonesAtSurface
4575.6 124.976 318.47 0 0 0 0 1.16891e+06 22.6669 143708 0 1.93625e+06 1.16891e+06 ZonesAtSurface
4625.61 124.977 278.498 0 0 0 0 1.26537e+06 17.323 78621.4 0 2.03345e+06 1.26537e+06 ZonesAtSurface
4675.62 124.972 238.522 0 9 0 0 1.324e+06 36.7188 76667.6 0 2.01041e+06 1.324e+06 ZonesAtSurface
4725.63 124.966 198.555 0 6 0 0 1.0739e+06 27.2148 64542.9 0 2.19927e+06 1.0739e+06 ZonesAtSurface
4775.62 124.965 158.577 0 2 0 0 868514 44.4428 64263.4 0 2.44536e+06 868514 ZonesAtSurface
4825.56 124.969 118.612 0 2 0 0 621089 29.4498 122990 0 1.19481e+06 621089 ZonesAtSurface
4875.2 124.989 -21.4619 0 0 1 2 1.10863e+06 41.7877 138521 0 1.41221e+07 1.10863e+06 ZonesAtSurface
4925.13 124.99 -11.4143 0 0 1 1 1.36078e+06 43.8655 143375 0 1.30277e+07 1.36078e+06 ZonesAtSurface
74.8808 174.986 -32.922 0 0 1 1 1.26573e+06 15.3886 64320.7 0 7.26179e+06 1.26573e+06 ZonesAtSurface
124.763 174.983 -7.91824 0 0 1 1 1.24975e+06 22.8525 93156.6 0 5.02256e+06 1.24975e+06 ZonesAtSurface
174.729 174.983 -32.9544 0 0 1 2 562797 28.6592 91117 0 9.32123e+06 562797 ZonesAtSurface
224.649 174.983 -7.94126 0 0 1 2 826196 18.2013 128723 0 6.12127e+06 826196 ZonesAtSurface
274.629 174.984 -32.9642 1 0 1 3 1.41576e+06 18.2714 98385.8 0 8.31391e+06 1.41576e+06 ZonesAtSurface
324.519 174.983 42.0573 0 0 1 2 510885 44.9424 109459 0 8.69258e+06 510885 ZonesAtSurface
374.516 174.985 17.0351 1 0 1 3 922204 28.5229 110499 0 8.25449e+06 922204 ZonesAtSurface
424.386 174.977 192.043 0 8 0 0 1.24387e+06 40.1934 74156.3 0 2.5327e+06 1.24387e+06 ZonesAtSurface
474.379 174.977 217.032 0 0 0 0 1.29489e+06 29.6164 86811.4 0 3.03992e+06 1.29489e+06 ZonesAtSurface
524.371 174.977 242.017 0 0 0 0 656420 40.643 96528 0 2.76077e+06 656420 ZonesAtSurface
574.366 174.977 267 0 0 0 0 640071 24.3677 149680 0 2.08953e+06 640071 ZonesAtSurface
624.364 174.977 291.984 0 0 0 0 718680 16.4538 62013.4 0 1.57354e+06 718680 ZonesAtSurface
674.364 174.978 316.967 0 0 0 0 967525 30.6472 115123 0 1.37204e+06 967525 ZonesAtSurface
724.358 174.98 291.947 0 0 1 1 1.12811e+06 15.3312 97821.7 0 2.37231e+06 1.12811e+06 ZonesAtSurface
774.373 174.975 366.926 0 9 0 0 1.29711e+06 15.4096 106868 0 1.29062e+06 1.29711e+06 ZonesAtSurface
824.386 174.974 391.902 0 6 0 0 627274 22.4231 129325 0 928686 627274 ZonesAtSurface
874.405 174.972 416.877 0 0 0 0 939501 40.3967 58839.1 0 991977 939501 ZonesAtSurface
924.426 174.971 441.852 0 0 0 0 1.17652e+06 31.7337 83720 0 1.31306e+06 1.17652e+06 ZonesAtSurface
974.424 174.977 416.826 0 0 2 1 886324 42.7186 60855.2 0 1.77304e+06 886324 ZonesAtSurface
1024.47 174.972 491.797 0 7 0 0 913884 43.0993 133276 0 1.27767e+06 913884 ZonesAtSurface
1074.5 174.974 516.771 0 7 0 0 823408 35.1327 136510 0 846614 823408 ZonesAtSurface
1124.53 174.975 541.743 0 0 0 0 586131 24.6321 82179.5 0 866970 586131 ZonesAtSurface
1174.54 174.981 516.713 0 0 1 1 784288 24.2935 110601 0 1.98331e+06 784288 ZonesAtSurface
1224.6 174.971 591.672 0 0 0 0 1.02341e+06 27.2957 111152 0 1.61505e+06 1.02341e+06 ZonesAtSurface
1274.65 174.969 616.638 0 0 0 0 918973 23.7693 130504 0 806046 918973 ZonesAtSurface
1324.69 174.969 641.606 0 1 0 0 671213 33.0493 92139 0 840570 671213 ZonesAtSurface
