x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
624.387 124.982 290.981 0 0 0 0 685497 44.1063 124311 3.46572 1.57056e+06 685497 ZonesAtSurface
674.391 124.981 315.963 0 0 0 0 667907 44.236 106145 3.64883 1.44658e+06 667907 ZonesAtSurface
724.398 124.98 340.943 0 0 0 0 552936 17.2973 115357 1.39185 1.3709e+06 552936 ZonesAtSurface
774.407 124.98 365.922 0 0 0 0 505069 29.9035 77421.8 1.96793 1.33551e+06 505069 ZonesAtSurface
824.419 124.979 390.898 0 0 0 0 1.15358e+06 28.8797 109907 3.06314 1.41819e+06 1.15358e+06 ZonesAtSurface
874.436 124.979 415.872 0 0 0 0 1.10357e+06 18.7081 68762.8 2.45909 1.37632e+06 1.10357e+06 ZonesAtSurface
924.455 124.978 440.844 0 4 0 0 960929 42.0275 90998.9 4.21019 1.36075e+06 960929 ZonesAtSurface
974.476 124.978 465.815 0 9 0 0 1.07462e+06 41.674 116994 4.42464 1.36187e+06 1.07462e+06 ZonesAtSurface
1024.5 124.978 490.784 2 5 0 0 556415 18.1363 128219 1.29918 1.37011e+06 556415 ZonesAtSurface
1074.52 124.978 515.752 0 0 0 0 1.44537e+06 40.3857 117834 5.54343 1.39081e+06 1.44537e+06 ZonesAtSurface
1124.56 124.977 540.718 0 0 0 0 1.04776e+06 43.9822 52491.5 4.15365 1.5377e+06 1.04776e+06 ZonesAtSurface
1174.6 124.976 565.681 0 0 0 0 516487 36.4166 99982 2.53089 1.40315e+06 516487 ZonesAtSurface
1224.63 124.976 590.642 0 0 0 0 1.01764e+06 40.8044 115457 4.35857 1.42005e+06 1.01764e+06 ZonesAtSurface
1274.67 124.976 615.603 0 0 0 0 615272 42.0159 110297 3.62218 1.33138e+06 615272 ZonesAtSurface
1324.71 124.975 640.564 0 0 0 0 1.27321e+06 15.292 80969.6 2.82562 1.30573e+06 1.27321e+06 ZonesAtSurface
1374.76 124.975 665.525 0 0 0 0 1.46782e+06 36.9246 132999 5.84806 1.22785e+06 1.46782e+06 ZonesAtSurface
1424.8 124.976 690.487 0 0 0 0 740233 20.9611 61708.6 2.59502 1.07798e+06 740233 ZonesAtSurface
1474.84 124.976 715.451 0 0 0 0 722011 39.9904 70745.2 4.62271 1.03223e+06 722011 ZonesAtSurface
1524.88 124.977 740.416 0 0 0 0 918274 32.6013 61616.9 3.88558 1.0599e+06 918274 ZonesAtSurface
