x, y, z, sig1, sig2, sig3, S1-x, S1-y, S1-z, S2-x, S2-y, S2-z, S3-x, S3-y, S3-z, sxx, sxy, sxz, syy, syz, szz
4277.2 75.0387 -41.9616 -2.30449e+08 -2.30116e+08 -2.29324e+08 0.764054 -0.641351 0.0699304 0.53915 0.694282 0.476749 -0.354315 -0.326559 0.876254 -2.30211e+08 254634 -263603 -2.30169e+08 -211650 -2.2951e+08
4326.76 74.9592 -32.1607 -6.4401e+08 -6.4387e+08 -6.43588e+08 -0.657353 0.670859 -0.343272 0.209904 0.600479 0.771599 0.723762 0.435159 -0.535543 -6.43783e+08 150445 -140699 -6.4388e+08 -33292.4 -6.43806e+08
4376.79 75.1643 -22.0138 -6.3506e+08 -6.34947e+08 -6.34102e+08 0.7138 0.542578 -0.44283 -0.547604 0.826566 0.130073 0.436603 0.149649 0.887121 -6.34844e+08 11461.5 363164 -6.34962e+08 139388 -6.34304e+08
4426.87 75.0273 -11.6948 -6.20023e+08 -6.19341e+08 -6.1821e+08 -0.062976 0.993052 0.0994076 0.940302 0.0924198 -0.327553 -0.334464 0.0728452 -0.939589 -6.19217e+08 15066.4 359809 -6.20008e+08 -144729 -6.18349e+08
4477.94 74.9113 -0.967885 -3.29474e+08 -3.27546e+08 -3.26333e+08 0.263077 0.917981 -0.296819 0.50451 0.13134 0.853358 0.822351 -0.374247 -0.428578 -3.26859e+08 -838855 -276779 -3.29001e+08 719891 -3.27493e+08
4527.85 74.8992 -41.4753 -3.14194e+08 -3.12877e+08 -3.11674e+08 0.0151344 0.999732 -0.0175409 0.943579 -0.0200839 -0.330539 -0.330803 -0.0115487 -0.943629 -3.12745e+08 -15335.5 375909 -3.14193e+08 36212.4 -3.11806e+08
4576.83 75.019 -30.8956 -5.39821e+08 -5.39189e+08 -5.37907e+08 -0.0694045 0.983926 -0.164536 0.43218 0.178308 0.883983 0.899113 -0.00975671 -0.437609 -5.38156e+08 31897.6 -511500 -5.39801e+08 107746 -5.38961e+08
4625.81 74.937 -22.2069 -5.60225e+08 -5.59813e+08 -5.59078e+08 0.553437 0.691097 0.464857 -0.523287 0.722732 -0.451474 -0.64798 0.0066088 0.761629 -5.59631e+08 -160580 -468399 -5.60009e+08 -128539 -5.59476e+08
4676.93 74.8954 -12.454 -1.5922e+08 -1.58953e+08 -1.58689e+08 0.900995 -0.15306 0.405931 -0.139717 0.783467 0.605524 -0.410715 -0.602289 0.684515 -1.59125e+08 102066 -171712 -1.58864e+08 -92282.6 -1.58874e+08
4726.81 75.0281 -1.9327 -6.71453e+07 -6.71013e+07 -6.69737e+07 0.939365 0.199674 -0.278789 0.146296 0.501944 0.852438 0.310145 -0.841536 0.442297 -6.71278e+07 -41549.3 29026.5 -6.70127e+07 -45027.6 -6.70797e+07
